"filename", "language", "Batch", "XML", "PowerShell", "Properties", "YAML", "Java", "MS SQL", "comment", "blank", "total"
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\BuildingController.java", "Java", 0, 0, 0, 0, 0, 34, 0, 0, 10, 44
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ClassroomController.java", "Java", 0, 0, 0, 0, 0, 48, 0, 3, 13, 64
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ClassroomFeedbackController.java", "Java", 0, 0, 0, 0, 0, 290, 0, 20, 59, 369
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\LibraryController.java", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 7, 25
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\LibrarySeatController.java", "Java", 0, 0, 0, 0, 0, 19, 0, 0, 7, 26
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\RepairController.java", "Java", 0, 0, 0, 0, 0, 68, 0, 1, 10, 79
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ReservationController.java", "Java", 0, 0, 0, 0, 0, 83, 0, 23, 18, 124
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ResourceMarketController.java", "Java", 0, 0, 0, 0, 0, 78, 0, 0, 16, 94
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ReviewController.java", "Java", 0, 0, 0, 0, 0, 45, 0, 0, 11, 56
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ScanDeviceAuthorizeController.java", "Java", 0, 0, 0, 0, 0, 37, 0, 4, 11, 52
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\StudyPlanController.java", "Java", 0, 0, 0, 0, 0, 52, 0, 5, 14, 71
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\TeamChatController.java", "Java", 0, 0, 0, 0, 0, 154, 0, 0, 12, 166
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\TeamController.java", "Java", 0, 0, 0, 0, 0, 148, 0, 28, 25, 201
